Cellphone,Price,Url
Xiaomi POCO Poco X6 Pro 5G Dual SIM 512 GB amarillo 12 GB RAM,$1.374.900,https://www.mercadolibre.com.co/xiaomi-poco-poco-x6-pro-5g-dual-sim-512-gb-amarillo-12-gb-ram/p/MCO29734179#polycard_client=search-nordic&searchVariation=MCO29734179&position=5&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1385966781&sid=search
Xiaomi POCO Poco X6 5G Dual SIM 256 GB negro 8 GB RAM,$919.900,https://www.mercadolibre.com.co/xiaomi-poco-poco-x6-5g-dual-sim-256-gb-negro-8-gb-ram/p/MCO29693528#polycard_client=search-nordic&searchVariation=MCO29693528&position=3&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2396486332&sid=search
Xiaomi Pocophone Poco M6 Pro Dual SIM 256 GB negro 8 GB RAM,$764.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-m6-pro-dual-sim-256-gb-negro-8-gb-ram/p/MCO29734512#polycard_client=search-nordic&searchVariation=MCO29734512&position=6&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2236134602&sid=search
Xiaomi Pocophone Poco F6 Pro Dual SIM 1 TB blanco 16 GB RAM,$2.899.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-f6-pro-dual-sim-1-tb-blanco-16-gb-ram/p/MCO37200171#polycard_client=search-nordic&searchVariation=MCO37200171&position=10&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2618527734&sid=search
Xiaomi POCO Poco X6 Pro 5G Dual SIM 256 GB amarillo 8 GB RAM,$1.179.900,https://www.mercadolibre.com.co/xiaomi-poco-poco-x6-pro-5g-dual-sim-256-gb-amarillo-8-gb-ram/p/MCO29761342#polycard_client=search-nordic&searchVariation=MCO29761342&position=7&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2364671950&sid=search
Celular Xiaomi Poco F6 Pro 12gb Ram 512gb Rom Black Dual Sim,$2.154.900,https://www.mercadolibre.com.co/celular-xiaomi-poco-f6-pro-12gb-ram-512gb-rom-black-dual-sim/p/MCO37284282#polycard_client=search-nordic&searchVariation=MCO37284282&position=4&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2609864788&sid=search
Xiaomi Pocophone Poco X6 Pro 5G Dual SIM 512 GB gris 12 GB RAM,$1.389.910,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-x6-pro-5g-dual-sim-512-gb-gris-12-gb-ram/p/MCO37493516#polycard_client=search-nordic&searchVariation=MCO37493516&position=13&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1462799869&sid=search
Xiaomi Pocophone Poco X5 5G Dual SIM 256 GB negro 8 GB RAM,$1.399.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-x5-5g-dual-sim-256-gb-negro-8-gb-ram/p/MCO21748143#polycard_client=search-nordic&searchVariation=MCO21748143&position=9&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1473502228&sid=search
Xiaomi POCO Poco C65 Dual SIM 128 GB negro 6 GB RAM,$474.900,https://www.mercadolibre.com.co/xiaomi-poco-poco-c65-dual-sim-128-gb-negro-6-gb-ram/p/MCO29761240#polycard_client=search-nordic&searchVariation=MCO29761240&position=11&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2308636026&sid=search
Xiaomi Pocophone Poco F6 Dual SIM 512 GB negro 12 GB RAM,$1.661.287,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-f6-dual-sim-512-gb-negro-12-gb-ram/p/MCO37200165#polycard_client=search-nordic&searchVariation=MCO37200165&position=8&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2646583322&sid=search
Xiaomi Pocophone Poco F6 Dual SIM 256 GB dorado 8 GB RAM,$1.457.211,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-f6-dual-sim-256-gb-dorado-8-gb-ram/p/MCO37200168#polycard_client=search-nordic&searchVariation=MCO37200168&position=14&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2613620018&sid=search
Xiaomi POCO Poco C65 Dual SIM 256 GB negro 8 GB RAM,$982.998,https://www.mercadolibre.com.co/xiaomi-poco-poco-c65-dual-sim-256-gb-negro-8-gb-ram/p/MCO28117932#polycard_client=search-nordic&searchVariation=MCO28117932&position=15&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1437219607&sid=search
Xiaomi POCO Poco X6 5G Dual SIM 512 GB azul 12 GB RAM,$1.719.900,https://www.mercadolibre.com.co/xiaomi-poco-poco-x6-5g-dual-sim-512-gb-azul-12-gb-ram/p/MCO29734534#polycard_client=search-nordic&searchVariation=MCO29734534&position=12&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2445442044&sid=search
Xiaomi Pocophone Poco M6 Pro Dual SIM 512 GB negro 12 GB RAM,$1.315.998,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-m6-pro-dual-sim-512-gb-negro-12-gb-ram/p/MCO29734943#polycard_client=search-nordic&searchVariation=MCO29734943&position=16&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2215687412&sid=search
Xiaomi Pocophone Poco F6 Pro Dual SIM 256 GB  negro 12 GB RAM,$1.899.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-f6-pro-dual-sim-256-gb-negro-12-gb-ram/p/MCO37361861#polycard_client=search-nordic&searchVariation=MCO37361861&position=19&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2658967310&sid=search
Xiaomi Pocophone Poco X6 Pro 5g Dual Sim 512 Gb,$1.409.990,https://articulo.mercadolibre.com.co/MCO-1405961143-xiaomi-pocophone-poco-x6-pro-5g-dual-sim-512-gb-_JM#polycard_client=search-nordic&position=21&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Xiaomi Poco F6 Pro 5g 512gb 12gb Dual Sim,$2.154.000,https://articulo.mercadolibre.com.co/MCO-1430100047-celular-xiaomi-poco-f6-pro-5g-512gb-12gb-dual-sim-_JM#polycard_client=search-nordic&position=22&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Xiaomi Poco F6 5g 512gb 12gb Ram Dual Sim,$1.759.900,https://articulo.mercadolibre.com.co/MCO-1430113855-celular-xiaomi-poco-f6-5g-512gb-12gb-ram-dual-sim-_JM#polycard_client=search-nordic&position=23&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 16 Gb+256 Gb Snapdragon 7+ Gen 2 Oled 64 M,$1.603.558,https://articulo.mercadolibre.com.co/MCO-2303073450-xiaomi-poco-f5-5g-16-gb256-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=24&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Poco M6 Pro 512gb 12ram Morado 5g,$1.415.405,https://articulo.mercadolibre.com.co/MCO-1384525439-celular-poco-m6-pro-512gb-12ram-morado-5g-_JM#polycard_client=search-nordic&position=25&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Poco X6 12gb + 256 Gb Negro,$1.305.070,https://www.mercadolibre.com.co/celular-poco-x6-12gb-256-gb-negro/p/MCO40213445#polycard_client=search-nordic&searchVariation=MCO40213445&position=20&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1478848963&sid=search
Teléfono Inteligente Umidigi G3 Max Android 13 Unisoc T606 8,$675.688,https://articulo.mercadolibre.com.co/MCO-1813785466-telefono-inteligente-umidigi-g3-max-android-13-unisoc-t606-8-_JM#polycard_client=search-nordic&position=26&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Xiaomi Poco M6 Pro 8gb 256gb Azul,$898.900,https://articulo.mercadolibre.com.co/MCO-2660506144-celular-xiaomi-poco-m6-pro-8gb-256gb-azul-_JM#polycard_client=search-nordic&position=27&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Xiaomi Poco M6 Pro 8gb 256gb Azul,$940.900,https://articulo.mercadolibre.com.co/MCO-2660519016-celular-xiaomi-poco-m6-pro-8gb-256gb-azul-_JM#polycard_client=search-nordic&position=28&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Pocophone Poco C40 Dual SIM 64 GB coral green 4 GB RAM,$699.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-c40-dual-sim-64-gb-coral-green-4-gb-ram/p/MCO19530898#polycard_client=search-nordic&searchVariation=MCO19530898&position=17&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO1622367502&sid=search
Xiaomi Poco X3 Nfc M2007j20cg 6gb 128gb Dual Sim,$1.999.000,https://articulo.mercadolibre.com.co/MCO-590587100-xiaomi-poco-x3-nfc-m2007j20cg-6gb-128gb-dual-sim-_JM#polycard_client=search-nordic&position=29&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Celular Pocohone Poco X6 Pro 5g 256gb 8gb Ram Dual Sim,$1.279.990,https://articulo.mercadolibre.com.co/MCO-2230696552-celular-pocohone-poco-x6-pro-5g-256gb-8gb-ram-dual-sim-_JM#polycard_client=search-nordic&position=30&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 12 Gb+256 Gb Snapdragon 7+ Gen 2 Oled 64 M,$1.548.699,https://articulo.mercadolibre.com.co/MCO-2303060610-xiaomi-poco-f5-5g-12-gb256-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=31&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 12 Gb+512 Gb Snapdragon 7+ Gen 2 Oled 64 M,$1.962.248,https://articulo.mercadolibre.com.co/MCO-2303073268-xiaomi-poco-f5-5g-12-gb512-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=32&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Redmi K50 Gaming Edition Dual Sim 256 Gb Plata 12 Gb,$2.603.672,https://articulo.mercadolibre.com.co/MCO-2313197476-xiaomi-redmi-k50-gaming-edition-dual-sim-256-gb-plata-12-gb-_JM#polycard_client=search-nordic&position=33&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 16 Gb+512 Gb Snapdragon 7+ Gen 2 Oled 64 M,$2.017.107,https://articulo.mercadolibre.com.co/MCO-1409004101-xiaomi-poco-f5-5g-16-gb512-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=34&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
"Smartphone I14 Pro Max De 2+64 Gb Para Android, Ios, Xiaomi",$324.256,https://articulo.mercadolibre.com.co/MCO-2496606468-smartphone-i14-pro-max-de-264-gb-para-android-ios-xiaomi-_JM#polycard_client=search-nordic&position=35&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi 13 Dual Sim 256 Gb Negro 8 Gb Ram,$2.169.023,https://articulo.mercadolibre.com.co/MCO-2339744266-xiaomi-13-dual-sim-256-gb-negro-8-gb-ram-_JM#polycard_client=search-nordic&position=36&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 12 Gb+512 Gb Snapdragon 7+ Gen 2 Oled 64 M,$1.962.248,https://articulo.mercadolibre.com.co/MCO-2339721548-xiaomi-poco-f5-5g-12-gb512-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=37&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Smartphone I14 Pro Max 16+1 Tb Para Android Xiaomi Ios,$380.085,https://articulo.mercadolibre.com.co/MCO-2496630000-smartphone-i14-pro-max-161-tb-para-android-xiaomi-ios-_JM#polycard_client=search-nordic&position=38&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
"Smartphone I14 Pro Max De 2+64 Gb Para Android, Ios, Xiaomi",$378.313,https://articulo.mercadolibre.com.co/MCO-2496606532-smartphone-i14-pro-max-de-264-gb-para-android-ios-xiaomi-_JM#polycard_client=search-nordic&position=39&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 16 Gb+512 Gb Snapdragon 7+ Gen 2 Oled 64 M,$2.017.107,https://articulo.mercadolibre.com.co/MCO-2339786832-xiaomi-poco-f5-5g-16-gb512-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=40&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Teléfono Inteligente I14 Pro Max Para Android Xiaomi Ios/16,$378.735,https://articulo.mercadolibre.com.co/MCO-2496508780-telefono-inteligente-i14-pro-max-para-android-xiaomi-ios16-_JM#polycard_client=search-nordic&position=41&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F5 5g 12 Gb+256 Gb Snapdragon 7+ Gen 2 Oled 64 M,$1.548.699,https://articulo.mercadolibre.com.co/MCO-2339748118-xiaomi-poco-f5-5g-12-gb256-gb-snapdragon-7-gen-2-oled-64-m-_JM#polycard_client=search-nordic&position=42&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi POCO M6 Dual SIM 256 GB plateado 8 GB RAM,$629.200,https://www.mercadolibre.com.co/xiaomi-poco-m6-dual-sim-256-gb-plateado-8-gb-ram/p/MCO37897566#polycard_client=search-nordic&searchVariation=MCO37897566&position=18&search_layout=stack&type=product&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001&wid=MCO2654773648&sid=search
Teléfono Inteligente I15 Pro Max 16+1 Tb Para Android Xiaomi,$405.489,https://articulo.mercadolibre.com.co/MCO-1424069485-telefono-inteligente-i15-pro-max-161-tb-para-android-xiaomi-_JM#polycard_client=search-nordic&position=43&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco X4 Pro 5g 2201116pg 6gb 128gb Dual Sim,$2.159.000,https://articulo.mercadolibre.com.co/MCO-1517217072-xiaomi-poco-x4-pro-5g-2201116pg-6gb-128gb-dual-sim-_JM#polycard_client=search-nordic&position=44&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco X3 Gt 5g 21061110ag 8gb 256gb Dual Sim Duos,$2.829.000,https://articulo.mercadolibre.com.co/MCO-1286449505-xiaomi-poco-x3-gt-5g-21061110ag-8gb-256gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=45&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F3 5g M2012k11ag 8gb 256gb Dual Sim Duos,$3.699.000,https://articulo.mercadolibre.com.co/MCO-1289371037-xiaomi-poco-f3-5g-m2012k11ag-8gb-256gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=46&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F4 Gt 5g 21121210g 12gb 256gb Dual Sim,$3.199.000,https://articulo.mercadolibre.com.co/MCO-1289393391-xiaomi-poco-f4-gt-5g-21121210g-12gb-256gb-dual-sim-_JM#polycard_client=search-nordic&position=47&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F6 5g 24069pc21g 12gb 512gb Dual Sim Duos,$3.129.000,https://articulo.mercadolibre.com.co/MCO-1436179699-xiaomi-poco-f6-5g-24069pc21g-12gb-512gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=48&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco X5 Pro 5g 22101320g 6gb 128gb Dual Sim Duos,$2.249.000,https://articulo.mercadolibre.com.co/MCO-1517214796-xiaomi-poco-x5-pro-5g-22101320g-6gb-128gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=49&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco X3 Nfc M2007j20ct 6gb 128gb Dual Sim,$2.149.000,https://articulo.mercadolibre.com.co/MCO-1286497581-xiaomi-poco-x3-nfc-m2007j20ct-6gb-128gb-dual-sim-_JM#polycard_client=search-nordic&position=50&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco M3 M2010j19ct 4gb 128gb Dual Sim Duos,$1.629.000,https://articulo.mercadolibre.com.co/MCO-1289737765-xiaomi-poco-m3-m2010j19ct-4gb-128gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=51&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
Xiaomi Poco F6 Pro 5g 23113rkc6g 12gb 512gb Dual Sim Duos,$3.299.000,https://articulo.mercadolibre.com.co/MCO-1438816849-xiaomi-poco-f6-pro-5g-23113rkc6g-12gb-512gb-dual-sim-duos-_JM#polycard_client=search-nordic&position=52&search_layout=stack&type=item&tracking_id=6270fce4-c508-47af-9b3f-989e95b4f001
